tract,tot_pop,County,ZIP,location,CES_score_4,CES_percent_4,poll_burd_score_4,poll_burd_percent_4,pop_char_score_4,pop_char_percent_4
6019001100,2780,Fresno ,93706,Fresno,93.18,100.00,9.64,99.93,9.66,99.72
6077000700,4680,San Joaquin,95206,Stockton,86.65,99.99,8.97,99.29,9.66,99.74
6037204920,2751,Los Angeles,90023,Los Angeles,82.39,99.97,9.48,99.86,8.69,95.79
6019000700,3664,Fresno ,93706,Fresno,81.33,99.96,8.28,97.40,9.82,99.89
6019000200,2689,Fresno ,93706,Fresno,80.75,99.95,8.16,96.94,9.90,99.95
6037542402,3306,Los Angeles,90221,Compton,80.71,99.94,9.33,99.78,8.65,95.46
6019001000,4255,Fresno ,93706,Fresno,80.55,99.92,8.10,96.70,9.94,99.99
6037543202,5124,Los Angeles,90220,Compton,79.29,99.91,8.95,99.25,8.86,96.90
6019001202,4561,Fresno ,93725,Unincorporated Fresno County area,79.17,99.90,8.75,98.88,9.05,98.05
6077000100,3688,San Joaquin,95202,Stockton,77.87,99.89,7.83,95.22,9.94,99.97
6037203300,2000,Los Angeles,90033,Los Angeles,77.35,99.87,9.09,99.45,8.51,94.49
6037291220,3640,Los Angeles,90247,Los Angeles,77.25,99.86,10.00,100.00,7.73,86.01
6037433501,1949,Los Angeles,91733,South El Monte,76.91,99.85,8.88,99.15,8.66,95.54
6037243100,6772,Los Angeles,90059,Los Angeles,76.85,99.84,7.80,94.95,9.85,99.91
6037227010,5705,Los Angeles,90011,Los Angeles,76.65,99.82,8.57,98.52,8.94,97.37
6037226001,2615,Los Angeles,90021,Los Angeles,76.52,99.81,9.25,99.68,8.27,92.36
6019000300,4225,Fresno ,93706,Fresno,76.40,99.80,8.36,97.66,9.14,98.51
6037433101,2464,Los Angeles,91731,El Monte,76.26,99.79,9.12,99.50,8.37,93.15
6037239202,5999,Los Angeles,90001,Los Angeles,76.24,99.77,8.21,97.09,9.29,98.94
6037206050,2031,Los Angeles,90023,Los Angeles,75.99,99.76,9.32,99.74,8.16,91.14
6037205120,3548,Los Angeles,90023,Los Angeles,75.72,99.75,9.10,99.49,8.32,92.71
6077000300,2048,San Joaquin,95203,Stockton,75.61,99.74,8.60,98.61,8.79,96.47
6037226002,1820,Los Angeles,90021,Los Angeles,75.55,99.72,9.33,99.76,8.10,90.41
6019000902,5191,Fresno ,93706,Fresno,75.46,99.71,7.63,93.64,9.89,99.92
6099003700,4669,Stanislaus ,95380,Unincorporated Stanislaus County area,75.31,99.70,8.92,99.23,8.44,93.87
6019000400,5498,Fresno ,93721,Fresno,75.30,99.68,8.79,98.98,8.57,94.97
6037536104,3900,Los Angeles,90280,South Gate,75.11,99.67,9.66,99.94,7.77,86.61
6037104703,2174,Los Angeles,91331,Los Angeles,74.98,99.66,8.64,98.76,8.68,95.69
6037240500,7326,Los Angeles,90003,Los Angeles,74.91,99.65,7.74,94.59,9.68,99.77
6037535400,3553,Los Angeles,90002,Florence-Graham,74.90,99.63,8.00,96.18,9.37,99.23
6071001600,5363,San Bernardino,91761,Ontario,74.67,99.62,9.43,99.81,7.91,88.39
6037291210,5768,Los Angeles,90247,Los Angeles,74.44,99.61,9.55,99.90,7.79,86.81
6037570403,4832,Los Angeles,90805,Long Beach,74.37,99.60,8.24,97.22,9.03,97.89
6037532302,4881,Los Angeles,90023,Commerce,74.06,99.58,9.46,99.84,7.83,87.25
6037542200,7155,Los Angeles,90221,Compton,73.92,99.57,8.40,97.83,8.80,96.52
6037534202,5748,Los Angeles,90201,Bell Gardens,73.82,99.56,8.18,96.99,9.03,97.87
6037531302,6215,Los Angeles,90023,East Los Angeles,73.71,99.55,8.97,99.30,8.21,91.65
6029002500,9052,Kern ,93307,Bakersfield,73.36,99.53,8.06,96.53,9.10,98.31
6037242600,4756,Los Angeles,90059,Los Angeles,73.34,99.52,7.49,92.51,9.80,99.85
6037242700,6035,Los Angeles,90059,Los Angeles,73.33,99.51,7.74,94.55,9.48,99.42
6037206032,5687,Los Angeles,90033,Los Angeles,73.31,99.50,9.10,99.46,8.06,89.81
6037542401,4735,Los Angeles,90221,Compton,73.16,99.48,7.97,96.08,9.18,98.68
