ZIP,zcta_ces_percent_4,zcta_poll_burd_percent_4,tot_zcta_pop_4,zcta_ces_percent_2,zcta_poll_burd_percent_2,tot_zcta_pop_2,ces_4_q4,ces_4_envburd_q4,ces_2_q4,ces_2_envburd_q2
90001,46.3963963963964,13.963963963963963,76799,38.56502242152467,14.424514200298955,72304,0,0,0,0
90002,56.606606606606604,24.624624624624623,59406,48.729446935724965,22.869955156950674,57659,0,0,0,0
90003,65.69069069069069,37.46246246246246,48158,59.342301943198805,35.2017937219731,42097,0,0,0,0
90004,23.94894894894895,7.7327327327327335,58157,23.094170403587444,9.342301943198803,59626,0,0,0,0
90005,26.05105105105105,12.687687687687689,46780,23.99103139013453,12.630792227204784,44795,0,0,0,0
90006,32.80780780780781,10.21021021021021,50212,31.09118086696562,10.164424514200299,49772,0,0,0,0
90007,38.43843843843844,14.339339339339338,49788,33.408071748878925,14.872944693572496,47680,0,0,0,0
90008,61.33633633633634,44.51951951951952,32728,59.940209267563525,45.440956651718984,32319,0,0,0,0
90010,87.46246246246247,83.4084084084084,6973,86.84603886397608,83.03437967115097,6638,1,1,1,1
90011,31.156156156156158,3.6786786786786783,98213,23.54260089686099,3.961136023916293,91594,0,0,0,0
90012,53.52852852852853,45.570570570570574,35264,56.20328849028401,46.26307922272048,30921,0,0,0,0
90013,88.13813813813813,79.65465465465465,15820,87.29446935724962,80.34379671150973,15852,1,1,1,1
90015,69.51951951951952,57.80780780780781,22170,69.73094170403587,57.847533632286996,18700,0,0,0,0
90016,52.25225225225225,29.954954954954953,40505,45.2914798206278,26.606875934230196,42951,0,0,0,0
90017,63.888888888888886,49.249249249249246,33126,61.43497757847533,47.832585949177876,27152,0,0,0,0
90018,35.88588588588589,9.984984984984985,58264,30.568011958146485,7.997010463378176,54264,0,0,0,0
90019,26.351351351351347,11.26126126126126,64822,24.2152466367713,10.388639760837071,65077,0,0,0,0
90020,35.28528528528528,23.94894894894895,41262,30.642750373692078,23.84155455904335,39995,0,0,0,0
90021,89.33933933933935,81.83183183183183,8566,88.86397608370703,82.21225710014947,6629,1,1,1,1
90022,46.32132132132132,19.144144144144143,58540,48.87892376681614,23.019431988041852,58764,0,0,0,0
90023,57.58258258258259,32.732732732732735,53034,55.381165919282516,32.8101644245142,52822,0,0,0,0
90024,12.537537537537538,18.993993993993993,42043,11.285500747384155,18.98355754857997,49674,0,0,0,0
90025,25.525525525525527,33.78378378378378,45052,20.40358744394619,32.884902840059794,40252,0,0,0,0
90026,21.396396396396398,6.906906906906906,73630,18.83408071748879,6.801195814648729,72053,0,0,0,0
90027,23.64864864864865,10.285285285285285,46076,16.292974588938712,10.911808669656203,46390,0,0,0,0
90028,52.85285285285285,39.71471471471472,32733,48.95366218236173,39.38714499252616,31365,0,0,0,0
90029,54.65465465465466,35.06006006006006,33219,53.288490284005974,34.45440956651719,35042,0,0,0,0
90031,58.033033033033036,44.14414414414414,41170,58.22122571001495,41.77877428998505,40270,0,0,0,0
90032,38.73873873873874,15.69069069069069,47905,33.25859491778774,13.452914798206278,45734,0,0,0,0
90033,53.228228228228225,29.72972972972973,48236,53.21375186846039,29.07324364723468,46874,0,0,0,0
90034,8.258258258258259,5.555555555555555,60601,8.071748878923767,7.025411061285501,63932,0,0,0,0
90035,28.07807807807808,36.93693693693694,28568,35.874439461883405,39.23766816143498,29648,0,0,0,0
90036,23.7987987987988,29.27927927927928,35308,12.25710014947683,28.475336322869953,35352,0,0,0,0
90037,45.645645645645644,14.864864864864865,72798,44.17040358744394,16.965620328849027,66722,0,0,0,0
90038,57.65765765765766,48.1981981981982,26657,58.14648729446936,47.08520179372198,28070,0,0,0,0
90039,57.80780780780781,58.933933933933936,26433,60.01494768310912,58.37070254110613,25166,0,0,0,0
90040,95.27027027027027,90.09009009009009,8612,95.81464872944694,90.80717488789237,8451,1,1,1,1
90041,34.98498498498498,38.288288288288285,33747,38.789237668161434,34.15545590433483,31610,0,0,0,0
90042,15.54054054054054,3.453453453453453,54624,15.097159940209268,3.1390134529147984,54646,0,0,0,0
90043,40.24024024024024,15.54054054054054,48356,32.511210762331835,14.200298953662182,47701,0,0,0,0
90044,18.01801801801802,0.3003003003003003,117365,13.153961136023916,0.672645739910314,107566,0,0,0,0
90045,15.315315315315313,30.930930930930934,40044,14.275037369207771,29.372197309417043,38923,0,0,0,0
90046,14.564564564564563,15.165165165165165,48063,9.566517189835576,14.499252615844544,46398,0,0,0,0
90047,56.831831831831835,32.13213213213213,40871,47.60837070254111,26.532137518684607,39087,0,0,0,0
90048,33.633633633633636,50.6006006006006,20591,32.884902840059794,49.92526158445441,20439,0,0,0,0
90049,3.5285285285285286,14.18918918918919,36283,2.391629297458894,11.509715994020926,35097,0,0,0,0
90056,80.33033033033034,82.88288288288288,13224,79.82062780269058,85.65022421524664,12494,1,1,1,1
90057,50.45045045045045,25.900900900900904,45606,49.17787742899851,27.57847533632287,41977,0,0,0,0
90058,95.72072072072072,86.33633633633634,8271,89.0881913303438,78.02690582959642,8903,1,1,1,1
90059,68.24324324324324,45.645645645645644,44050,61.88340807174888,39.686098654708516,38969,0,0,0,0
90061,77.7027027027027,58.78378378378378,26095,73.84155455904335,56.57698056801196,24708,1,0,0,0
90062,74.92492492492492,58.85885885885885,28196,72.27204783258595,56.80119581464873,26364,0,0,0,0
90063,36.26126126126126,13.513513513513514,58868,40.35874439461883,17.189835575485798,61447,0,0,0,0
90064,29.354354354354356,47.8978978978979,24294,29.970104633781762,47.6831091180867,24795,0,0,0,0
90065,31.306306306306308,16.666666666666664,48534,31.46487294469357,17.937219730941703,48084,0,0,0,0
90066,8.633633633633634,7.3573573573573565,55660,5.5306427503736915,8.221225710014949,52399,0,0,0,0
90067,89.1891891891892,92.1921921921922,2428,92.152466367713,94.46935724962631,2428,1,1,1,1
90068,29.504504504504503,47.97297297297297,23640,24.06576980568012,46.93572496263079,24423,0,0,0,0
90069,39.11411411411411,56.606606606606604,20977,35.65022421524663,58.893871449925264,19920,0,0,0,0
90071,98.64864864864865,99.92492492492492,2888,99.70104633781763,100,2589,1,1,1,1
90077,25.150150150150154,69.74474474474475,11265,53.88639760837071,72.49626307922273,12602,0,0,0,0
90094,88.66366366366366,98.27327327327328,12100,91.4050822122571,98.20627802690582,6470,1,1,1,1
90201,29.72972972972973,5.48048048048048,101415,25.26158445440957,7.548579970104634,101019,0,0,0,0
90210,21.92192192192192,48.573573573573576,23276,32.36173393124066,46.038863976083704,25188,0,0,0,0
90211,93.01801801801803,97.07207207207207,4092,92.89985052316891,97.15994020926756,4069,1,1,1,1
90212,76.12612612612612,81.08108108108108,13288,74.66367713004485,81.16591928251121,11948,1,1,0,1
90220,54.87987987987988,30.555555555555557,55735,48.50523168908819,23.168908819133037,51780,0,0,0,0
90221,60.28528528528528,33.48348348348348,48436,53.58744394618834,28.699551569506728,51005,0,0,0,0
90222,75.30030030030031,59.08408408408409,32674,69.50672645739911,54.633781763826605,30853,1,0,0,0
90230,55.4054054054054,55.70570570570571,23309,58.66965620328849,56.65171898355755,22830,0,0,0,0
90232,66.51651651651652,70.4954954954955,17768,67.33931240657698,71.97309417040358,18419,0,0,0,0
90240,72.14714714714715,71.62162162162163,24708,74.36472346786248,72.72047832585949,24580,0,0,0,0
90241,52.77777777777778,47.372372372372375,40562,52.46636771300448,47.15994020926757,39418,0,0,0,0
90242,50.37537537537538,40.765765765765764,47021,50.14947683109118,41.62929745889387,47743,0,0,0,0
90245,51.051051051051054,67.56756756756756,16731,23.84155455904335,68.38565022421524,16595,0,0,0,0
90247,59.009009009009006,39.93993993993994,41749,52.3916292974589,37.07025411061286,40557,0,0,0,0
90248,78.37837837837837,69.36936936936937,13608,77.13004484304933,67.86248131539611,12334,1,0,1,0
90249,76.2012012012012,65.01501501501501,23974,73.01943198804184,64.72346786248131,23815,1,0,0,0
90250,21.996996996996998,3.6036036036036037,104391,14.648729446935723,4.185351270553064,100696,0,0,0,0
90254,11.636636636636636,53.97897897897897,19539,4.260089686098654,43.946188340807176,19506,0,0,0,0
90255,23.34834834834835,2.1021021021021022,74249,20.328849028400597,3.2137518684603883,74074,0,0,0,0
90260,67.7927927927928,55.78078078078078,32819,67.1150971599402,57.62331838565022,32769,0,0,0,0
90262,56.38138138138138,35.585585585585584,69438,50.52316890881914,30.866965620328852,68329,0,0,0,0
90265,10.96096096096096,48.72372372372372,19438,25.336322869955158,52.242152466367706,18964,0,0,0,0
90266,2.3273273273273274,33.85885885885886,35500,3.587443946188341,30.343796711509718,35135,0,0,0,0
90270,70.1951951951952,55.330330330330334,27332,66.06875934230195,51.42002989536621,27395,0,0,0,0
90272,4.129129129129129,47.82282282282282,23403,14.424514200298955,34.753363228699556,24476,0,0,0,0
90274,3.078078078078078,31.681681681681685,23163,7.548579970104634,25.037369207772798,23647,0,0,0,0
90275,2.7027027027027026,15.840840840840842,44864,4.185351270553064,12.556053811659194,43863,0,0,0,0
90277,12.462462462462462,40.01501501501502,32663,7.324364723467862,34.08071748878923,33081,0,0,0,0
90278,13.663663663663664,39.414414414414416,39612,10.762331838565023,38.41554559043348,38781,0,0,0,0
90280,25.600600600600597,4.129129129129129,97229,19.581464872944693,4.334828101644246,96766,0,0,0,0
90290,73.1981981981982,90.91591591591592,7213,73.54260089686099,88.34080717488789,7078,0,1,0,1
90291,18.61861861861862,34.53453453453454,26751,12.182361733931241,28.251121076233183,28207,0,0,0,0
90292,56.906906906906904,71.09609609609609,24033,52.98953662182362,67.9372197309417,22396,0,0,0,0
90293,46.6966966966967,72.44744744744744,12692,39.91031390134529,69.88041853512705,12248,0,0,0,0
90301,62.387387387387385,41.066066066066064,38813,53.96113602391629,37.219730941704036,37189,0,0,0,0
90302,69.29429429429429,52.25225225225225,29634,59.26756352765321,50.7473841554559,29129,0,0,0,0
90303,65.84084084084084,46.77177177177177,23320,56.57698056801196,38.714499252615845,24780,0,0,0,0
90304,74.17417417417418,58.18318318318318,24321,67.41405082212258,55.68011958146487,26321,0,0,0,0
90305,62.76276276276276,54.27927927927928,15146,58.96860986547085,51.49476831091181,14918,0,0,0,0
90401,97.44744744744744,97.67267267267268,4659,96.48729446935725,96.56203288490283,4016,1,1,1,1
90402,65.01501501501501,74.77477477477478,10300,60.0896860986547,77.72795216741405,10807,0,0,0,1
90403,39.26426426426426,52.4024024024024,23287,33.33333333333333,51.12107623318386,23799,0,0,0,0
90404,62.23723723723724,57.432432432432435,25905,53.66218236173393,55.4559043348281,24510,0,0,0,0
90405,53.153153153153156,60.51051051051051,27426,39.46188340807175,58.445440956651716,26604,0,0,0,0
90501,61.03603603603604,52.552552552552555,41877,54.633781763826605,50.224215246636774,43073,0,0,0,0
90502,81.6066066066066,77.25225225225225,17778,81.39013452914799,76.75635276532138,18009,1,1,1,1
90503,18.693693693693696,27.852852852852855,45539,14.125560538116591,22.944693572496263,45308,0,0,0,0
90504,49.6996996996997,52.92792792792793,34115,51.86846038863976,53.58744394618834,33582,0,0,0,0
90505,23.423423423423422,38.813813813813816,38705,24.28998505231689,36.696562032884906,38275,0,0,0,0
90506,96.47147147147147,96.92192192192192,4777,97.60837070254111,98.95366218236174,5087,1,1,1,1
90601,43.768768768768766,34.234234234234236,41533,43.12406576980568,39.46188340807175,41247,0,0,0,0
90602,70.72072072072072,62.687687687687685,16798,69.80568011958147,63.751868460388636,17214,0,0,0,0
90603,70.12012012012012,72.52252252252252,13995,60.76233183856502,69.65620328849027,14196,0,0,0,0
90604,37.16216216216216,27.55255255255255,45730,32.21225710014948,30.269058295964125,42442,0,0,0,0
90605,52.47747747747747,42.64264264264264,36664,47.309417040358746,42.37668161434978,36287,0,0,0,0
90606,71.92192192192192,61.48648648648649,28796,71.37518684603886,62.5560538116592,28265,0,0,0,0
90620,44.8948948948949,38.58858858858859,55501,37.369207772795214,37.81763826606876,54279,0,0,0,0
90621,77.62762762762763,70.72072072072072,25168,73.76681614349776,69.43198804185351,25092,1,0,0,0
90623,63.51351351351351,69.14414414414415,14476,67.71300448430493,72.27204783258595,14154,0,0,0,0
90630,25,27.47747747747748,43083,17.339312406576983,25.93423019431988,42336,0,0,0,0
90631,27.927927927927925,17.942942942942945,64062,20.47832585949178,16.367713004484305,61114,0,0,0,0
90638,27.25225225225225,24.54954954954955,48764,28.02690582959641,27.95216741405082,48527,0,0,0,0
90640,37.23723723723724,17.192192192192195,65023,34.52914798206278,19.581464872944693,64394,0,0,0,0
90650,20.42042042042042,4.504504504504505,103876,14.872944693572496,3.8863976083707024,106317,0,0,0,0
90660,41.66666666666667,24.24924924924925,64247,40.43348281016442,26.083707025411062,64234,0,0,0,0
90670,80.25525525525525,73.57357357357357,20776,80.4185351270553,75.48579970104635,18565,1,0,1,1
90680,66.36636636636636,57.95795795795796,32441,66.96562032884903,55.530642750373694,32598,0,0,0,0
90701,79.5045045045045,73.87387387387388,16758,76.60687593423019,73.4678624813154,16522,1,0,1,0
90703,21.17117117117117,22.52252252252252,50143,26.38266068759342,28.774289985052313,49041,0,0,0,0
90704,87.23723723723724,89.7897897897898,3684,64.72346786248131,62.33183856502242,4096,1,1,0,0
90706,22.597597597597595,4.654654654654655,77195,18.086696562032888,5.605381165919283,76616,0,0,0,0
