disaster_id,u_num_id,zcta,aggregate_year,incident_date,year,num_times_affected
2006-2006-07-17-2006-07-17-AZ;CA-CIBOLA-879,210,85328,2006,2006-07-17,2006,1
2011-2011-08-29-2011-08-29-AZ;CA-THREE SLASHES-2735,384,85328,2011,2011-08-29,2011,2
2013-2013-05-19-2013-05-19-AZ;CA-ISLAND LAKE-3541,432,85328,2013,2013-05-19,2013,3
2004-2004-05-03-2004-05-03-AZ;CA-BEND-499,125,85364,2004,2004-05-03,2004,1
2011-2011-05-18-2011-05-18-AZ;CA-LAGUNA-2739,385,85365,2011,2011-05-18,2011,1
2004-2004-06-29-2004-06-29-CA-BOWLING-505,129,86440,2004,2004-06-29,2004,1
2003-2003-07-16-2003-07-16-CA;NV-LIGHTNING-356,89,89029,2003,2003-07-16,2003,1
2002-2002-07-03-2002-07-03-NV;CA-GONDOLA-5306,671,89449,2002,2002-07-03,2002,1
2009-2009-07-15-2009-07-17-NV;CA-RED ROCK-2281,366,89508,2009,2009-07-15,2009,1
2017-2017-07-11-2017-07-11-CA;NV-LONG VALLEY-4653,562,89508,2017,2017-07-11,2017,2
2019-2019-08-24-2019-08-24-CA;NV-LONG VALLEY-5230,645,89508,2019,2019-08-24,2019,3
2019-2019-08-24-2019-08-24-NV;CA-LONG VALLEY-5385,676,89508,2019,2019-08-24,2019,4
2007-2007-07-06-2007-07-06-NV;CA-RED ROCK-5325,672,89510,2007,2007-07-06,2007,1
2017-2017-07-11-2017-07-11-CA;NV-LONG VALLEY-4653,562,89510,2017,2017-07-11,2017,2
2001-2001-06-17-2001-06-17-NV;CA-MARTIS-176,31,89511,2001,2001-06-17,2001,1
2008-2008-04-29-2008-04-29-NV;CA-EAST LAKE-1915,339,89511,2008,2008-04-29,2008,2
2008-2008-04-29-2008-04-29-NV;CA-EAST LAKE-1915,339,89521,2008,2008-04-29,2008,1
2008-2008-04-29-2008-04-29-NV;CA-EAST LAKE-1915,339,89704,2008,2008-04-29,2008,1
2007-2007-05-08-2007-05-09-CA-GRIFFITH PARK-1327,271,90027,2007,2007-05-08,2007,1
2017-2017-12-06-2017-12-06-CA-SKIRBALL-4819,592,90049,2017,2017-12-06,2017,1
2019-2019-10-28-2019-10-28-CA-GETTY-5162,630,90049,2019,2019-10-28,2019,2
2007-2007-05-08-2007-05-09-CA-GRIFFITH PARK-1327,271,90068,2007,2007-05-08,2007,1
2017-2017-12-06-2017-12-06-CA-SKIRBALL-4819,592,90077,2017,2017-12-06,2017,1
2007-2007-01-08-2007-01-08-CA-MALIBU-1321,265,90263,2007,2007-01-08,2007,1
2007-2007-07-07-2007-07-08-CA-CANYON-1322,266,90263,2007,2007-07-07,2007,2
2007-2007-10-21-2007-10-21-CA-CANYON-1323,267,90263,2007,2007-10-21,2007,3
2018-2018-11-08-2018-11-09-CA-WOOLSEY-5069,619,90263,2018,2018-11-08,2018,4
2003-2003-01-06-2003-01-07-CA-PACIFIC-364,97,90265,2003,2003-01-06,2003,1
2007-2007-01-08-2007-01-08-CA-MALIBU-1321,265,90265,2007,2007-01-08,2007,2
2007-2007-07-07-2007-07-08-CA-CANYON-1322,266,90265,2007,2007-07-07,2007,3
2007-2007-10-21-2007-10-21-CA-CANYON-1323,267,90265,2007,2007-10-21,2007,4
2007-2007-11-24-2007-11-24-CA-CORRAL-1326,270,90265,2007,2007-11-24,2007,5
