,disaster_id,density_criteria_met
0,2000-2000-04-13-2000-04-13-AZ-EB 3-1,False
1,2000-2000-07-22-2000-07-22-AZ-RIDGE-2,True
2,2000-2000-05-25-2000-05-25-AZ-PUMPKIN-3,True
3,2000-2000-05-18-2000-05-18-AZ-LEWIS SPRINGS-4,True
4,2000-2000-08-27-2000-08-27-CA-HUNTER-5,True
5,2000-2000-07-22-2000-07-23-CA-HAPPY-6,False
6,2000-2000-09-19-2000-09-19-CA-CONCOW-7,True
7,2000-2000-08-17-2000-08-17-CA-COOLEY-8,True
8,2000-2000-06-13-2000-06-13-CA-BERRYESSA-9,True
9,2000-2000-09-29-2000-09-29-CA-WEINSTEIN-10,True
10,2000-2000-07-26-2000-07-26-CA-MORGAN-11,True
11,2000-2000-08-14-2000-08-14-CA-UNION-12,True
12,2000-2000-10-21-2000-10-21-CA-HIDDEN-13,True
13,2010-2010-07-15-2010-07-15-CA-VALLEY-14,True
14,2000-2000-09-09-2000-09-10-CA-BLACK RANCH-15,True
15,2000-2000-09-13-2000-09-13-CA-YUCCA-16,True
16,2000-2000-08-02-2000-08-02-CA-KINGS-17,True
17,2000-2000-07-29-2000-07-29-CA-PECHANGA-18,True
18,2000-2000-07-22-2000-07-24-CA-MANTER-19,True
19,2000-2000-06-12-2000-06-12-CO-BOBCAT-20,True
20,2000-2000-07-20-2000-07-20-CO-BIRCHER-21,True
21,2000-2000-09-15-2000-09-16-CO-ELDORADO-22,True
22,2000-2000-07-03-2000-07-03-CO-CONE MOUNTAIN-23,True
23,2000-2000-04-18-2000-04-18-CO-SAND-24,True
24,2000-2000-06-12-2000-06-12-CO-HIGH MEADOWS-25,True
25,2000-2000-08-02-2000-08-02-CO-PONY-26,True
26,2000-2000-02-24-2000-02-24-FL-UNNAMED-27,True
27,2000-2000-04-11-2000-04-13-FL-MERRITT-28,True
28,2000-2000-05-20-2000-05-20-FL-RIVER RANCH-29,True
29,2000-2000-03-10-2000-03-10-FL-SILVER SPRINGS SHORES-30,True
30,2000-2000-05-14-2000-05-16-FL-FLOWERS-31,True
31,2000-2000-06-03-2000-06-03-FL-LABELLE-32,True
32,2000-2000-06-08-2000-06-08-FL-CARLTON-33,True
33,2000-2000-07-23-2000-07-23-ID-MILE POST 78 I-84-34,True
34,2000-2000-08-05-2000-08-05-ID-GRASS-35,True
35,2000-2000-08-07-2000-08-07-ID-OREGON TRAIL-36,True
36,2000-2000-08-15-2000-08-15-ID-TRAIL CREEK-37,True
37,2000-2000-08-10-2000-08-10-ID-MALONEY CREEK-38,True
38,2000-2000-07-14-2000-07-14-ID-BURGDORF JUNCTION-39,True
39,2000-2000-07-31-2000-07-31-ID-DIAMOND-40,False
40,2000-2000-08-11-2000-08-11-ID-INDIAN AND PROSPECT-41,True
41,2000-2000-07-31-2000-07-31-ID-DIAMOND-42,True
42,2000-2000-07-10-2000-07-10-ID-CLEAR CREEK-43,True
43,2000-2000-06-06-2000-06-06-MI-RICE LAKE-44,True
44,2000-2000-03-15-2000-03-15-MN-TEAGUE-45,True
45,2000-2000-04-01-2000-04-01-MN-CARLOS-46,True
46,2000-2000-10-28-2000-10-28-MO-HUZZAH-47,True
47,2000-2000-07-31-2000-07-31-MT-RAZOR-48,True
48,2000-2000-08-27-2000-08-28-MT-WILLIE-49,True
49,2000-2000-08-02-2000-08-02-MT-BOULDER-50,True
50,2000-2000-08-16-2000-08-16-MT-TOSTON-MAUDLOW-51,True
51,2000-2000-08-26-2000-08-26-MT-PEASE-52,True
52,2000-2000-07-23-2000-07-23-MT-BUCKSNORT-53,True
53,2000-2000-07-13-2000-07-13-MT-MONTURE-54,True
54,2000-2000-08-04-2000-08-04-MT-LANDOWNER-55,True
55,2000-2000-07-26-2000-07-26-MT-STAG-56,True
56,2000-2000-08-02-2000-08-02-MT-HELL CREEK-57,False
57,2000-2000-08-10-2000-08-10-MT-GILGER-58,True
58,2000-2000-08-20-2000-08-20-MT-CEDAR BUTTE-59,True
59,2000-2000-08-07-2000-08-07-MT-RYAN GULCH-60,True
60,2000-2000-07-30-2000-07-30-MT-AVERAGE BAD DAY-61,True
61,2000-2000-09-06-2000-09-06-NE-SAWLOG-62,True
62,2000-2000-05-05-2000-05-05-NM-CERRO GRANDE-63,True
63,2000-2000-05-07-2000-05-08-NM-CREE-64,True
64,2000-2000-05-11-2000-05-14-NM-SCOTTABLE-65,True
65,2000-2000-01-10-2000-01-10-NM-TORRES-66,True
66,2000-2000-05-11-2000-05-11-NM-MANUELITAS-67,True
67,2000-2000-06-14-2000-06-15-NM-LA CUEVA-68,True
68,2000-2000-03-28-2000-03-28-NM-DEVONIAN-69,True
69,2000-2000-05-18-2000-05-18-NM-VINEYARD-70,True
70,2000-2000-02-17-2000-02-17-NM-JOHNNY-71,True
71,2000-2000-03-07-2000-03-07-NM-EIDSON-72,True
72,2000-2000-04-18-2000-04-20-NM-LA JOYA-73,True
