zip_code,po_name,state,zip_type,zcta,zip_join_type
90001,Los Angeles,CA,Zip Code Area,90001,Zip Matches ZCTA
90002,Los Angeles,CA,Zip Code Area,90002,Zip Matches ZCTA
90003,Los Angeles,CA,Zip Code Area,90003,Zip Matches ZCTA
90004,Los Angeles,CA,Zip Code Area,90004,Zip Matches ZCTA
90005,Los Angeles,CA,Zip Code Area,90005,Zip Matches ZCTA
90006,Los Angeles,CA,Zip Code Area,90006,Zip Matches ZCTA
90007,Los Angeles,CA,Zip Code Area,90007,Zip Matches ZCTA
90008,Los Angeles,CA,Zip Code Area,90008,Zip Matches ZCTA
90009,Los Angeles,CA,Post Office or large volume customer,90045,Spatial join to ZCTA
90010,Los Angeles,CA,Post Office or large volume customer,90010,Zip Matches ZCTA
90011,Los Angeles,CA,Zip Code Area,90011,Zip Matches ZCTA
90012,Los Angeles,CA,Zip Code Area,90012,Zip Matches ZCTA
90013,Los Angeles,CA,Zip Code Area,90013,Zip Matches ZCTA
90014,Los Angeles,CA,Zip Code Area,90014,Zip Matches ZCTA
90015,Los Angeles,CA,Zip Code Area,90015,Zip Matches ZCTA
90016,Los Angeles,CA,Zip Code Area,90016,Zip Matches ZCTA
90017,Los Angeles,CA,Zip Code Area,90017,Zip Matches ZCTA
90018,Los Angeles,CA,Zip Code Area,90018,Zip Matches ZCTA
90019,Los Angeles,CA,Zip Code Area,90019,Zip Matches ZCTA
90020,Los Angeles,CA,Zip Code Area,90020,Zip Matches ZCTA
90021,Los Angeles,CA,Zip Code Area,90021,Zip Matches ZCTA
90022,Los Angeles,CA,Zip Code Area,90022,Zip Matches ZCTA
90023,Los Angeles,CA,Zip Code Area,90023,Zip Matches ZCTA
90024,Los Angeles,CA,Zip Code Area,90024,Zip Matches ZCTA
90025,Los Angeles,CA,Zip Code Area,90025,Zip Matches ZCTA
90026,Los Angeles,CA,Zip Code Area,90026,Zip Matches ZCTA
90027,Los Angeles,CA,Zip Code Area,90027,Zip Matches ZCTA
90028,Los Angeles,CA,Zip Code Area,90028,Zip Matches ZCTA
90029,Los Angeles,CA,Zip Code Area,90029,Zip Matches ZCTA
90030,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90031,Los Angeles,CA,Zip Code Area,90031,Zip Matches ZCTA
90032,Los Angeles,CA,Zip Code Area,90032,Zip Matches ZCTA
90033,Los Angeles,CA,Zip Code Area,90033,Zip Matches ZCTA
90034,Los Angeles,CA,Zip Code Area,90034,Zip Matches ZCTA
90035,Los Angeles,CA,Zip Code Area,90035,Zip Matches ZCTA
90036,Los Angeles,CA,Zip Code Area,90036,Zip Matches ZCTA
90037,Los Angeles,CA,Zip Code Area,90037,Zip Matches ZCTA
90038,Los Angeles,CA,Zip Code Area,90038,Zip Matches ZCTA
90039,Los Angeles,CA,Zip Code Area,90039,Zip Matches ZCTA
90040,Los Angeles,CA,Zip Code Area,90040,Zip Matches ZCTA
90041,Los Angeles,CA,Zip Code Area,90041,Zip Matches ZCTA
90042,Los Angeles,CA,Zip Code Area,90042,Zip Matches ZCTA
90043,Los Angeles,CA,Zip Code Area,90043,Zip Matches ZCTA
90044,Los Angeles,CA,Zip Code Area,90044,Zip Matches ZCTA
90045,Los Angeles,CA,Zip Code Area,90045,Zip Matches ZCTA
90046,Los Angeles,CA,Zip Code Area,90046,Zip Matches ZCTA
90047,Los Angeles,CA,Zip Code Area,90047,Zip Matches ZCTA
90048,Los Angeles,CA,Zip Code Area,90048,Zip Matches ZCTA
90049,Los Angeles,CA,Zip Code Area,90049,Zip Matches ZCTA
90050,Los Angeles,CA,Post Office or large volume customer,90042,Spatial join to ZCTA
90051,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90052,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90053,Los Angeles,CA,Post Office or large volume customer,90012,Spatial join to ZCTA
90054,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90055,Los Angeles,CA,Post Office or large volume customer,90015,Spatial join to ZCTA
90056,Los Angeles,CA,Zip Code Area,90056,Zip Matches ZCTA
90057,Los Angeles,CA,Zip Code Area,90057,Zip Matches ZCTA
90058,Los Angeles,CA,Zip Code Area,90058,Zip Matches ZCTA
90059,Los Angeles,CA,Zip Code Area,90059,Zip Matches ZCTA
90060,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90061,Los Angeles,CA,Zip Code Area,90061,Zip Matches ZCTA
90062,Los Angeles,CA,Zip Code Area,90062,Zip Matches ZCTA
90063,Los Angeles,CA,Zip Code Area,90063,Zip Matches ZCTA
90064,Los Angeles,CA,Zip Code Area,90064,Zip Matches ZCTA
90065,Los Angeles,CA,Zip Code Area,90065,Zip Matches ZCTA
90066,Los Angeles,CA,Zip Code Area,90066,Zip Matches ZCTA
90067,Los Angeles,CA,Zip Code Area,90067,Zip Matches ZCTA
90068,Los Angeles,CA,Zip Code Area,90068,Zip Matches ZCTA
90069,West Hollywood,CA,Zip Code Area,90069,Zip Matches ZCTA
90070,Los Angeles,CA,Post Office or large volume customer,90020,Spatial join to ZCTA
90071,Los Angeles,CA,Zip Code Area,90071,Zip Matches ZCTA
90072,Los Angeles,CA,Post Office or large volume customer,90027,Spatial join to ZCTA
90073,Los Angeles,CA,Zip Code Area,90073,Zip Matches ZCTA
90074,Los Angeles,CA,Post Office or large volume customer,90071,Spatial join to ZCTA
90075,Los Angeles,CA,Post Office or large volume customer,90020,Spatial join to ZCTA
90076,Los Angeles,CA,Post Office or large volume customer,90020,Spatial join to ZCTA
90077,Los Angeles,CA,Zip Code Area,90077,Zip Matches ZCTA
90078,Los Angeles,CA,Post Office or large volume customer,90028,Spatial join to ZCTA
90079,Los Angeles,CA,Post Office or large volume customer,90079,Zip Matches ZCTA
90080,Los Angeles,CA,Post Office or large volume customer,90045,Spatial join to ZCTA
90081,Los Angeles,CA,Post Office or large volume customer,90017,Spatial join to ZCTA
90082,Los Angeles,CA,Post Office or large volume customer,90037,Spatial join to ZCTA
90083,Los Angeles,CA,Post Office or large volume customer,90045,Spatial join to ZCTA
90084,Los Angeles,CA,Post Office or large volume customer,90017,Spatial join to ZCTA
90086,Los Angeles,CA,Post Office or large volume customer,90012,Spatial join to ZCTA
90087,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90088,Los Angeles,CA,Post Office or large volume customer,90017,Spatial join to ZCTA
90089,Los Angeles,CA,Zip Code Area,90089,Zip Matches ZCTA
90090,Dodgertown,CA,Post Office or large volume customer,90090,Zip Matches ZCTA
90091,Los Angeles,CA,Post Office or large volume customer,90040,Spatial join to ZCTA
90093,Los Angeles,CA,Post Office or large volume customer,90028,Spatial join to ZCTA
90094,Playa Vista,CA,Zip Code Area,90094,Zip Matches ZCTA
90095,Los Angeles,CA,Zip Code Area,90095,Zip Matches ZCTA
90096,Los Angeles,CA,Post Office or large volume customer,90017,Spatial join to ZCTA
90099,Los Angeles,CA,Post Office or large volume customer,90001,Spatial join to ZCTA
90189,Los Angeles,CA,Post Office or large volume customer,90045,Spatial join to ZCTA
90201,Bell Gardens,CA,Zip Code Area,90201,Zip Matches ZCTA
90202,Bell,CA,Post Office or large volume customer,90201,Spatial join to ZCTA
90209,Beverly Hills,CA,Post Office or large volume customer,90210,Spatial join to ZCTA
90210,Beverly Hills,CA,Zip Code Area,90210,Zip Matches ZCTA
90211,Beverly Hills,CA,Zip Code Area,90211,Zip Matches ZCTA
90212,Beverly Hills,CA,Zip Code Area,90212,Zip Matches ZCTA
90213,Beverly Hills,CA,Post Office or large volume customer,90210,Spatial join to ZCTA
90220,Compton,CA,Zip Code Area,90220,Zip Matches ZCTA
90221,Compton,CA,Zip Code Area,90221,Zip Matches ZCTA
90222,Compton,CA,Zip Code Area,90222,Zip Matches ZCTA
90223,Compton,CA,Post Office or large volume customer,90220,Spatial join to ZCTA
90224,Compton,CA,Post Office or large volume customer,90221,Spatial join to ZCTA
90230,Culver City,CA,Zip Code Area,90230,Zip Matches ZCTA
90231,Culver City,CA,Post Office or large volume customer,90230,Spatial join to ZCTA
90232,Culver City,CA,Zip Code Area,90232,Zip Matches ZCTA
90233,Culver City,CA,Post Office or large volume customer,90230,Spatial join to ZCTA
90239,Downey,CA,Post Office or large volume customer,90241,Spatial join to ZCTA
90240,Downey,CA,Zip Code Area,90240,Zip Matches ZCTA
90241,Downey,CA,Zip Code Area,90241,Zip Matches ZCTA
90242,Downey,CA,Zip Code Area,90242,Zip Matches ZCTA
90245,El Segundo,CA,Zip Code Area,90245,Zip Matches ZCTA
